Part,Value,Device,Package,Description
C1,47nF,C-EU025-025X050,C025-025X050,CAPACITOR
C2,47nF,C-EU025-025X050,C025-025X050,CAPACITOR
C3,100nF,C-EU025-025X050,C025-025X050,CAPACITOR
C4,47nF,C-EU025-025X050,C025-025X050,CAPACITOR
C5,47nF,C-EU025-025X050,C025-025X050,CAPACITOR
C6,100nF,C-EU025-025X050,C025-025X050,CAPACITOR
C7,47nF,C-EU025-025X050,C025-025X050,CAPACITOR
C8,47nF,C-EU025-025X050,C025-025X050,CAPACITOR
C9,100nF,C-EU025-025X050,C025-025X050,CAPACITOR
IC1,AD712N,AD712N,DIL08,Dual Precision
IC2,74HC00N,74HC00N,DIL14,Quad 2-input NAND gate
IC3,AD712N,AD712N,DIL08,Dual Precision
IC4,74HC00N,74HC00N,DIL14,Quad 2-input NAND gate
IC5,AD712N,AD712N,DIL08,Dual Precision
IC6,74HC00N,74HC00N,DIL14,Quad 2-input NAND gate
L1,4.7mH,L-US0207/12,0207/12,INDUCTOR
L2,4.7mH,L-US0207/12,0207/12,INDUCTOR
L3,4.7mH,L-US0207/12,0207/12,INDUCTOR
L4,4.7mH,L-US0207/12,0207/12,INDUCTOR
L5,4.7mH,L-US0207/12,0207/12,INDUCTOR
L6,4.7mH,L-US0207/12,0207/12,INDUCTOR
R1,270R,R-US_0207/7,0207/7,RESISTOR
R2,270R,R-US_0207/7,0207/7,RESISTOR
R3,100k,R-TRIMM3296W,RTRIM3296W,Trimm resistor
R4,270R,R-US_0207/7,0207/7,RESISTOR
R5,270R,R-US_0207/7,0207/7,RESISTOR
R6,100k,R-TRIMM3296W,RTRIM3296W,Trimm resistor
R7,270R,R-US_0207/7,0207/7,RESISTOR
R8,270R,R-US_0207/7,0207/7,RESISTOR
R9,100k,R-TRIMM3296W,RTRIM3296W,Trimm resistor
R10,1k,R-US_0207/7,0207/7,RESISTOR
R11,1k,R-US_0207/7,0207/7,RESISTOR
R12,1k,R-US_0207/7,0207/7,RESISTOR
SL1,,M02PTH,1X02,"Standard 2-pin 0.1 header. Use with"""
SL2,,M02PTH,1X02,"Standard 2-pin 0.1 header. Use with"""
SL3,,M02PTH,1X02,"Standard 2-pin 0.1 header. Use with"""
U$1,ARDUINO_PRO_MICRO,ARDUINO_PRO_MICRO,ARDUINO_PRO_MICRO,
